OBJECTID;x;y;SampleArt;VEG_ALL;Btty;NEAR_DIST;z2010
1;524254.76;5958650.88;fixed;Sc;1;0.00;0.87
2;524274.88;5958600.79;fixed;Sc;1;1.47;0.89
3;524287.43;5958572.90;fixed;Sc;1;2.46;0.89
4;524301.38;5958545.11;fixed;Sc;1;0.58;0.87
5;524310.75;5958521.85;fixed;Sc;1;1.35;0.9
6;524322.31;5958496.40;fixed;Sc;1;3.02;0.89
7;524296.44;5958489.64;fixed;Bo;2;29.04;1.18
8;524285.50;5958516.03;fixed;Bo;2;26.42;1.11
9;524273.15;5958537.38;fixed;Bo;2;29.68;1.15
10;524255.24;5958565.75;fixed;Bo;2;34.55;1.19
11;524227.96;5958638.80;fixed;Bo;2;29.40;1.13
12;524271.54;5958622.79;fixed;Sc;1;0.00;0.86
13;524263.02;5958617.96;fixed;Sc;1;9.17;0.91
14;524253.92;5958612.86;fixed;Bo;2;18.95;0.94
15;524220.28;5958596.07;fixed;Bo;2;54.80;1.6
16;524229.07;5958692.70;pot;Sc;1;5.24;0.91
17;524234.07;5958692.70;pot;Sc;1;0.78;0.87
18;524219.07;5958687.70;pot;Bo;2;16.42;0.96
19;524224.07;5958687.70;pot;Sc;1;11.96;0.91
20;524229.07;5958687.70;pot;Sc;1;7.50;0.92
21;524234.07;5958687.70;pot;Sc;1;3.04;0.88
22;524204.07;5958682.70;pot;Bo;2;32.16;1.15
23;524209.07;5958682.70;pot;Bo;2;27.60;1.1
24;524214.07;5958682.70;pot;Bo;2;23.14;1
25;524219.07;5958682.70;pot;Bo;2;18.68;0.95
26;524224.07;5958682.70;pot;Bo;2;14.22;0.95
27;524229.07;5958682.70;pot;Sc;1;9.75;0.93
28;524234.07;5958682.70;pot;Sc;1;5.29;0.92
29;524239.07;5958682.70;pot;Sc;1;0.83;0.88
30;524194.07;5958677.70;pot;Bo;2;43.32;1.33
31;524199.07;5958677.70;pot;Bo;2;38.78;1.23
32;524204.07;5958677.70;pot;Bo;2;34.32;1.18
33;524209.07;5958677.70;pot;Bo;2;29.86;1.11
34;524214.07;5958677.70;pot;Bo;2;25.40;1.06
35;524219.07;5958677.70;pot;Bo;2;20.93;0.95
36;524224.07;5958677.70;pot;Bo;2;16.47;0.94
37;524229.07;5958677.70;pot;Sc;1;12.01;0.91
38;524234.07;5958677.70;pot;Sc;1;7.55;0.91
39;524239.07;5958677.70;pot;Sc;1;3.09;0.9
40;524189.07;5958672.70;pot;Bo;2;49.96;1.52
41;524194.07;5958672.70;pot;Bo;2;45.50;1.36
42;524199.07;5958672.70;pot;Bo;2;41.04;1.26
43;524204.07;5958672.70;pot;Bo;2;36.58;1.19
44;524209.07;5958672.70;pot;Bo;2;32.11;1.15
45;524214.07;5958672.70;pot;Bo;2;27.65;1.09
46;524219.07;5958672.70;pot;Bo;2;23.19;1
47;524224.07;5958672.70;pot;Bo;2;18.73;0.97
48;524229.07;5958672.70;pot;Bo;2;14.27;0.94
49;524234.07;5958672.70;pot;Sc;1;9.81;0.93
50;524239.07;5958672.70;pot;Sc;1;5.31;0.89
51;524244.07;5958672.70;pot;Sc;1;0.76;0.88
52;524194.07;5958667.70;pot;Bo;2;47.76;1.36
53;524199.07;5958667.70;pot;Bo;2;43.29;1.32
54;524204.07;5958667.70;pot;Bo;2;38.83;1.23
55;524209.07;5958667.70;pot;Bo;2;34.37;1.15
56;524214.07;5958667.70;pot;Bo;2;29.91;1.12
57;524219.07;5958667.70;pot;Bo;2;25.45;1.03
58;524224.07;5958667.70;pot;Bo;2;20.99;0.97
59;524229.07;5958667.70;pot;Bo;2;16.49;0.96
60;524234.07;5958667.70;pot;Sc;1;11.93;0.92
61;524239.07;5958667.70;pot;Sc;1;7.37;0.91
62;524244.07;5958667.70;pot;Sc;1;2.82;0.93
63;524194.07;5958662.70;pot;Bo;2;50.01;1.44
64;524199.07;5958662.70;pot;Bo;2;45.55;1.33
65;524204.07;5958662.70;pot;Bo;2;41.09;1.24
66;524209.07;5958662.70;pot;Bo;2;36.63;1.18
67;524214.07;5958662.70;pot;Bo;2;32.17;1.14
68;524219.07;5958662.70;pot;Bo;2;27.66;1.08
69;524224.07;5958662.70;pot;Bo;2;23.10;1.04
70;524229.07;5958662.70;pot;Bo;2;18.55;0.96
71;524234.07;5958662.70;pot;Bo;2;13.99;0.93
72;524239.07;5958662.70;pot;Sc;1;9.43;0.92
73;524244.07;5958662.70;pot;Sc;1;4.88;0.88
74;524249.07;5958662.70;pot;Sc;1;0.32;0.87
75;524199.07;5958657.70;pot;Bo;2;47.81;1.38
76;524204.07;5958657.70;pot;Bo;2;43.35;1.29
77;524209.07;5958657.70;pot;Bo;2;38.83;1.23
78;524214.07;5958657.70;pot;Bo;2;34.27;1.16
79;524219.07;5958657.70;pot;Bo;2;29.72;1.11
80;524224.07;5958657.70;pot;Bo;2;25.16;1.08
81;524229.07;5958657.70;pot;Bo;2;20.60;0.99
82;524234.07;5958657.70;pot;Bo;2;16.05;0.95
83;524239.07;5958657.70;pot;Sc;1;11.49;0.94
84;524244.07;5958657.70;pot;Sc;1;6.94;0.91
85;524249.07;5958657.70;pot;Sc;1;2.38;0.88
86;524199.07;5958652.70;pot;Bo;2;50.00;1.47
87;524204.07;5958652.70;pot;Bo;2;45.44;1.33
88;524209.07;5958652.70;pot;Bo;2;40.89;1.26
89;524214.07;5958652.70;pot;Bo;2;36.33;1.19
90;524219.07;5958652.70;pot;Bo;2;31.78;1.13
91;524224.07;5958652.70;pot;Bo;2;27.22;1.1
92;524229.07;5958652.70;pot;Bo;2;22.66;1.02
93;524234.07;5958652.70;pot;Bo;2;18.11;0.96
94;524239.07;5958652.70;pot;Bo;2;13.55;0.93
95;524244.07;5958652.70;pot;Sc;1;8.99;0.92
96;524249.07;5958652.70;pot;Sc;1;4.44;0.89
97;524204.07;5958647.70;pot;Bo;2;47.50;1.4
98;524209.07;5958647.70;pot;Bo;2;42.95;1.31
99;524214.07;5958647.70;pot;Bo;2;38.39;1.21
100;524219.07;5958647.70;pot;Bo;2;33.84;1.15
101;524224.07;5958647.70;pot;Bo;2;29.28;1.13
102;524229.07;5958647.70;pot;Bo;2;24.72;1.07
103;524234.07;5958647.70;pot;Bo;2;20.17;0.99
104;524239.07;5958647.70;pot;Bo;2;15.61;0.94
105;524244.07;5958647.70;pot;Sc;1;11.05;0.92
106;524249.07;5958647.70;pot;Sc;1;6.52;0.92
107;524254.07;5958647.70;pot;Sc;1;2.22;0.88
108;524204.07;5958642.70;pot;Bo;2;49.56;1.53
109;524209.07;5958642.70;pot;Bo;2;45.01;1.35
110;524214.07;5958642.70;pot;Bo;2;40.45;1.26
111;524219.07;5958642.70;pot;Bo;2;35.89;1.19
112;524224.07;5958642.70;pot;Bo;2;31.34;1.14
113;524229.07;5958642.70;pot;Bo;2;26.78;1.11
114;524234.07;5958642.70;pot;Bo;2;22.23;1.01
115;524239.07;5958642.70;pot;Bo;2;17.70;0.95
116;524244.07;5958642.70;pot;Bo;2;13.37;0.93
117;524249.07;5958642.70;pot;Sc;1;9.08;0.93
118;524254.07;5958642.70;pot;Sc;1;4.79;0.89
119;524259.07;5958642.70;pot;Sc;1;0.50;0.86
120;524204.07;5958637.70;pot;Bo;2;51.62;1.54
121;524209.07;5958637.70;pot;Bo;2;47.07;1.41
122;524214.07;5958637.70;pot;Bo;2;42.51;1.29
123;524219.07;5958637.70;pot;Bo;2;37.95;1.21
124;524224.07;5958637.70;pot;Bo;2;33.40;1.17
125;524229.07;5958637.70;pot;Bo;2;28.88;1.12
126;524234.07;5958637.70;pot;Bo;2;24.52;1.08
127;524239.07;5958637.70;pot;Bo;2;20.23;0.96
128;524244.07;5958637.70;pot;Bo;2;15.94;0.93
129;524249.07;5958637.70;pot;Sc;1;11.65;0.91
130;524254.07;5958637.70;pot;Sc;1;7.35;0.91
131;524259.07;5958637.70;pot;Sc;1;3.06;0.88
132;524209.07;5958632.70;pot;Bo;2;49.13;1.48
133;524214.07;5958632.70;pot;Bo;2;44.57;1.34
134;524219.07;5958632.70;pot;Bo;2;40.06;1.26
135;524224.07;5958632.70;pot;Bo;2;35.67;1.19
136;524229.07;5958632.70;pot;Bo;2;31.38;1.14
137;524234.07;5958632.70;pot;Bo;2;27.09;1.09
138;524239.07;5958632.70;pot;Bo;2;22.79;0.98
139;524244.07;5958632.70;pot;Bo;2;18.50;0.97
140;524249.07;5958632.70;pot;Sc;1;14.21;0.91
141;524254.07;5958632.70;pot;Sc;1;9.92;0.91
142;524259.07;5958632.70;pot;Sc;1;5.62;0.91
143;524264.07;5958632.70;pot;Sc;1;1.33;0.88
144;524209.07;5958627.70;pot;Bo;2;51.24;1.56
145;524214.07;5958627.70;pot;Bo;2;46.83;1.38
146;524219.07;5958627.70;pot;Bo;2;42.53;1.27
147;524224.07;5958627.70;pot;Bo;2;38.24;1.2
148;524229.07;5958627.70;pot;Bo;2;33.94;1.15
149;524234.07;5958627.70;pot;Bo;2;29.65;1.1
150;524239.07;5958627.70;pot;Bo;2;25.36;1.02
151;524244.07;5958627.70;pot;Bo;2;21.07;0.98
152;524249.07;5958627.70;pot;Bo;2;16.77;0.95
153;524254.07;5958627.70;pot;Sc;1;12.48;0.95
154;524259.07;5958627.70;pot;Sc;1;8.19;0.9
155;524264.07;5958627.70;pot;Sc;1;3.90;0.88
156;524214.07;5958622.70;pot;Bo;2;49.39;1.41
157;524219.07;5958622.70;pot;Bo;2;45.09;1.33
